年度,日期,活動名稱,場次狀態,email網域,正取,候補,請假
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@planetpr.com.tw,0,5,0
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@hakuhodotm.com.tw,2,2,0
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@unismart.com.tw,0,3,0
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@pilotpr.com.tw,0,2,0
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@unisincere.com.tw,0,2,0
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@ace-taipei.com,0,1,0
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@gmail.com,1,0,0
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@mdcg.tw,1,0,0
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@meshplus.com.tw,1,0,0
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@medialand.tw,13,0,1
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@mxdigi.com,7,0,0
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@2008-media.com,6,0,0
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@ua.com.tw,2,0,3
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@gmail.com,4,0,0
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@hakuhodotm.com.tw,2,0,0
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@ky-post.com,2,0,0
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@meshplus.con.tw,0,0,1
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@planetpr.com.tw,1,0,0
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@unismart.com.tw,1,0,0
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@unisurf.com.tw,0,0,1
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空,ENDED,@medialand.tw,9,0,0
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空,ENDED,@ky-post.com,4,0,0
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空,ENDED,@mxdigi.com,2,0,2
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空,ENDED,@gmail.com,3,0,0
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空,ENDED,@planetpr.com.tw,0,0,3
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空,ENDED,@pilotpr.com.tw,0,0,1
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空,ENDED,@ua.com.tw,0,0,1
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空,ENDED,@unisincere.com.tw,0,0,1
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空,ENDED,@unismart.com.tw,1,0,0
2025,2025-06-13,6/13 (五) 場次一 13:30 土地精靈音樂會｜夏之象,ENDED,@gmail.com,3,0,0
2025,2025-06-13,6/13 (五) 場次一 13:30 土地精靈音樂會｜夏之象,ENDED,@medialand.tw,2,0,0
2025,2025-06-13,6/13 (五) 場次一 13:30 土地精靈音樂會｜夏之象,ENDED,@meshplus.com.tw,0,0,2
2025,2025-06-13,6/13 (五) 場次一 13:30 土地精靈音樂會｜夏之象,ENDED,@mxdigi.com,1,0,0
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象,ENDED,@mxdigi.com,7,0,3
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象,ENDED,@medialand.tw,5,0,0
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象,ENDED,@pilotpr.com.tw,3,0,0
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象,ENDED,@ky-post.com,1,0,1
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象,ENDED,@meshplus.com.tw,0,0,2
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象,ENDED,@hakuhodotm.com.tw,1,0,0
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象,ENDED,@mdcg.tw,1,0,0
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象,ENDED,@msa.hinet.net,0,0,1
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@medialand.tw,7,0,1
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@hakuhodotm.com.tw,4,1,0
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@ua.com.tw,3,0,1
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@mxdigi.com,3,0,0
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@unismart.com.tw,3,0,0
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@dvibemedia.com,1,0,0
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@grandpr.com.tw,1,0,0
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@meshplus.com.tw,0,0,1
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@pilotpr.com.tw,1,0,0
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@medialand.tw,7,0,0
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@mxdigi.com,3,0,1
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@hakuhodotm.com.tw,3,0,0
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@2008-media.com,2,0,0
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@ky-post.com,1,0,1
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@ua.com.tw,2,0,0
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@unismart.com.tw,2,0,0
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@dvibemedia.com,1,0,0
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@gmail.com,1,0,0
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@grandpr.com.tw,0,0,1
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@pilotpr.com.tw,0,0,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@gmail.com,10,0,0
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@medialand.tw,7,0,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@ua.com.tw,2,0,4
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@mxdigi.com,5,0,0
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@pilotpr.com.tw,1,0,4
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@unismart.com.tw,4,0,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@hakuhodotm.com.tw,3,0,0
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@ky-post.com,3,0,0
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@accuhit.net,2,0,0
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@meshplus.com.tw,1,0,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@2008-media.com,0,0,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@dvibemedia.com,1,0,0
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@gapps.ntnu.edu.tw,1,0,0
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@grandpr.com.tw,0,0,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@hakuhodoti.com.tw,1,0,0
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@planetpr.com.tw,1,0,0
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@medialand.tw,5,0,1
