年度,日期,活動名稱,報到表,email網域,歸屬公司,正取,候補,請假,報到
2026,2026-04-17,漫步在樹梢｜一場離地向上的自由練習,有,@ky-post.com,光洋波斯特,0,2,0,0
2026,2026-04-17,漫步在樹梢｜一場離地向上的自由練習,有,@ace-taipei.com,艾斯,1,0,0,1
2026,2026-04-17,漫步在樹梢｜一場離地向上的自由練習,有,@dvibemedia.com,迪維,1,0,0,1
2026,2026-04-17,漫步在樹梢｜一場離地向上的自由練習,有,@mxdigi.com,米蘭 MDCG,0,0,1,0
2026,2026-04-17,漫步在樹梢｜一場離地向上的自由練習,有,@pilotpr.com.tw,先勢集團,0,0,1,0
2026,2026-04-17,漫步在樹梢｜一場離地向上的自由練習,有,@planetpr.com.tw,先勢集團,0,0,1,0
2026,2026-04-17,漫步在樹梢｜一場離地向上的自由練習,有,@ua.com,聯廣 UCG,0,1,0,0
2026,2026-04-17,漫步在樹梢｜一場離地向上的自由練習,有,@unisurf.com.tw,聯廣 UCG,0,1,0,0
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@ua.com.tw,聯廣 UCG,11,0,1,11
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@hakuhodotm.com.tw,台北博報堂 HTM,7,0,1,7
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@grandpr.com.tw,先勢集團,5,2,0,5
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@pilotpr.com.tw,先勢集團,4,0,0,4
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@prestigepr.com.tw,先勢集團,3,0,1,3
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@unismart.com.tw,聯廣 UCG,3,0,1,3
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@planetpr.com.tw,先勢集團,3,0,0,3
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@unisincere.com.tw,聯廣 UCG,2,0,0,2
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@unisurf.com.tw,聯廣 UCG,0,0,2,0
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@dvibemedia.com,迪維,1,0,0,1
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@unistyle.com.tw,聯廣 UCG,1,0,0,1
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@medialand.tw,米蘭 MDCG,0,0,1,0
2026,2026-03-27,［加場 ! ］春野・開運・馬上好,有,@unisurf.com,聯廣 UCG,0,0,1,0
2026,2026-03-20,春野・開運・馬上好,有,@ua.com.tw,聯廣 UCG,2,14,2,2
2026,2026-03-20,春野・開運・馬上好,有,@meshplus.com.tw,米蘭 MDCG,12,0,0,12
2026,2026-03-20,春野・開運・馬上好,有,@hakuhodotm.com.tw,台北博報堂 HTM,2,9,0,2
2026,2026-03-20,春野・開運・馬上好,有,@medialand.tw,米蘭 MDCG,9,1,0,9
2026,2026-03-20,春野・開運・馬上好,有,@mxdigi.com,米蘭 MDCG,9,0,1,9
2026,2026-03-20,春野・開運・馬上好,有,@unismart.com.tw,聯廣 UCG,0,6,0,0
2026,2026-03-20,春野・開運・馬上好,有,@ky-post.com,光洋波斯特,4,0,0,4
2026,2026-03-20,春野・開運・馬上好,有,@grandpr.com.tw,先勢集團,0,4,0,0
2026,2026-03-20,春野・開運・馬上好,有,@prestigepr.com.tw,先勢集團,0,4,0,0
2026,2026-03-20,春野・開運・馬上好,有,@unisurf.com.tw,聯廣 UCG,1,2,0,1
2026,2026-03-20,春野・開運・馬上好,有,@pilotpr.com.tw,先勢集團,0,3,0,0
2026,2026-03-20,春野・開運・馬上好,有,@ace-taipei.com,艾斯,2,0,0,2
2026,2026-03-20,春野・開運・馬上好,有,@mdcg.tw,米蘭 MDCG,2,0,0,2
2026,2026-03-20,春野・開運・馬上好,有,@unisincere.com.tw,聯廣 UCG,1,1,0,1
2026,2026-03-20,春野・開運・馬上好,有,@hakuhodoti.com.tw,台北博報堂 HTM,1,0,0,1
2026,2026-03-20,春野・開運・馬上好,有,@ace.taipei.com,艾斯,0,1,0,0
2026,2026-03-20,春野・開運・馬上好,有,@dvibemedia.com,迪維,0,1,0,0
2026,2026-03-20,春野・開運・馬上好,有,@interplan.com.tw,安益,0,0,1,0
2026,2026-03-20,春野・開運・馬上好,有,@planetpe.com.tw,先勢集團,0,1,0,0
2026,2026-03-20,春野・開運・馬上好,有,@planetpr.com.tw,先勢集團,0,1,0,0
2026,2026-03-20,春野・開運・馬上好,有,@unistyle.com.tw,聯廣 UCG,0,1,0,0
2026,2026-01-16,動態靜心｜用激靜鼓敲開心流,無,@interplan.com.tw,安益,5,0,0,0
