年度,日期,活動名稱,報到表,email網域,歸屬公司,正取,候補,請假,報到
2025,2025-05-02,<加場> 春蛻 暗光 字茶席｜貓空,無,@mxdigi.com,米蘭 MDCG,2,0,2,0
2025,2025-05-02,<加場> 春蛻 暗光 字茶席｜貓空,無,@planetpr.com.tw,先勢集團,0,0,3,0
2025,2025-05-02,<加場> 春蛻 暗光 字茶席｜貓空,無,@pilotpr.com.tw,先勢集團,0,0,1,0
2025,2025-05-02,<加場> 春蛻 暗光 字茶席｜貓空,無,@ua.com.tw,聯廣 UCG,0,0,1,0
2025,2025-05-02,<加場> 春蛻 暗光 字茶席｜貓空,無,@unisincere.com.tw,聯廣 UCG,0,0,1,0
2025,2025-05-02,<加場> 春蛻 暗光 字茶席｜貓空,無,@unismart.com.tw,聯廣 UCG,1,0,0,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@medialand.tw,米蘭 MDCG,13,0,1,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@mxdigi.com,米蘭 MDCG,7,0,0,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@2008-media.com,2008傳媒,6,0,0,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@ua.com.tw,聯廣 UCG,2,0,3,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@hakuhodotm.com.tw,台北博報堂 HTM,2,0,0,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@ky-post.com,光洋波斯特,2,0,0,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@meshplus.con.tw,米蘭 MDCG,0,0,1,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@planetpr.com.tw,先勢集團,1,0,0,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@unismart.com.tw,聯廣 UCG,1,0,0,0
2025,2025-04-25,銅鑼躺躺｜潛入聲波之海,無,@unisurf.com.tw,聯廣 UCG,0,0,1,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@medialand.tw,米蘭 MDCG,2,2,3,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@ua.com.tw,聯廣 UCG,5,2,0,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@mxdigi.com,米蘭 MDCG,4,0,2,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@ky-post.com,光洋波斯特,2,3,0,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@planetpr.com.tw,先勢集團,0,5,0,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@hakuhodotm.com.tw,台北博報堂 HTM,2,2,0,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@unismart.com.tw,聯廣 UCG,0,3,0,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@pilotpr.com.tw,先勢集團,0,2,0,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@unisincere.com.tw,聯廣 UCG,0,2,0,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@ace-taipei.com,艾斯,0,1,0,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@mdcg.tw,米蘭 MDCG,1,0,0,0
2025,2025-04-11,春蛻 暗光 字茶席｜貓空,無,@meshplus.com.tw,米蘭 MDCG,1,0,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@pilotpr.com.tw,先勢集團,2,5,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@unismart.com.tw,聯廣 UCG,1,6,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@mxdigi.com,米蘭 MDCG,5,1,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@medialand.tw,米蘭 MDCG,2,1,1,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@unisincere.com.tw,聯廣 UCG,0,3,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@grandpr.com.tw,先勢集團,0,2,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@hakuhodotm.com.tw,台北博報堂 HTM,1,1,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@2008-media.com,2008傳媒,0,0,1,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@ace-taipei.com,艾斯,1,0,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@ky-post.com,光洋波斯特,0,1,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@meshplus.com.tw,米蘭 MDCG,0,1,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@mxdogi.com,米蘭 MDCG,1,0,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@ua.com.tw,聯廣 UCG,1,0,0,0
2025,2025-03-28,春蛻 暗光 字茶席｜坪林,無,@unisurf.com.tw,聯廣 UCG,1,0,0,0
2025,2025-02-27,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@medialand.tw,米蘭 MDCG,9,0,6,0
2025,2025-02-27,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@mxdigi.com,米蘭 MDCG,5,0,0,0
2025,2025-02-27,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@ua.com.tw,聯廣 UCG,2,0,3,0
2025,2025-02-27,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@pilotpr.com.tw,先勢集團,0,0,4,0
2025,2025-02-27,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@unismart.com.tw,聯廣 UCG,0,0,2,0
2025,2025-02-27,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@mdcg.tw,米蘭 MDCG,0,0,1,0
2025,2025-02-27,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@mediand.tw,米蘭 MDCG,1,0,0,0
2025,2025-02-27,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@meshplus.com.tw,米蘭 MDCG,1,0,0,0
2025,2025-02-27,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@planetpr.com.tw,先勢集團,0,0,1,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@medialand.tw,米蘭 MDCG,10,0,3,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@planetpr.com.tw,先勢集團,2,0,3,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@ky-post.com,光洋波斯特,3,1,0,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@meshplus.com.tw,米蘭 MDCG,2,0,1,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@ua.com.tw,聯廣 UCG,3,0,0,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@mxdigi.com,米蘭 MDCG,1,0,1,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@pilotpr.com.tw,先勢集團,2,0,0,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@grandpr.com.tw,先勢集團,0,0,1,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@hakuhodoti.com.tw,台北博報堂 HTM,1,0,0,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@unismart.com.tw,聯廣 UCG,0,0,1,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@unistyle.com.tw,聯廣 UCG,0,0,1,0
2025,2025-02-21,用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,無,@unisurf.com.tw,聯廣 UCG,1,0,0,0
2025,2025-01-10,薛喬 心理師｜[夢想UP] 新年人生整理術,無,@medialand.tw,米蘭 MDCG,2,0,1,0
2025,2025-01-10,薛喬 心理師｜[夢想UP] 新年人生整理術,無,@meshplus.com.tw,米蘭 MDCG,1,0,0,0
2025,2025-01-10,薛喬 心理師｜[夢想UP] 新年人生整理術,無,@pilotpr.com.tw,先勢集團,1,0,0,0
2025,2025-01-10,薛喬 心理師｜[夢想UP] 新年人生整理術,無,@planetpr.com.tw,先勢集團,0,0,1,0
2025,2025-01-10,薛喬 心理師｜[夢想UP] 新年人生整理術,無,@ua.com.tw,聯廣 UCG,1,0,0,0
2025,2025-01-10,薛喬 心理師｜[夢想UP] 新年人生整理術,無,@unismart.com.tw,聯廣 UCG,1,0,0,0
